# Expression Atlas
# Query: Genes matching: 'default query', specifically  expressed above the expression level cutoff: 0 TPM in experiment E-MTAB-6867
# Selected columns: 6 (all)
# Timestamp: Tue, 08-Oct-2024 22:39:20
Gene ID	Gene Name	ARH77	Daudi	NAMALWA	Raji	Ramos	Toledo
ENSG00000004779	NDUFAB1	211.0	181.0	235.0	187.0	192.0	220.0
ENSG00000004838	ZMYND10	0.2	0.4	0.3	0.6	0.7	0.3
ENSG00000004848	ARX	0.1		0.1			0.5
ENSG00000004864	SLC25A13	38.0	35.0	68.0	42.0	33.0	27.0
ENSG00000004866	ST7	32.0	12.0	14.0	15.0	10.0	12.0
ENSG00000004897	CDC27	118.0	121.0	109.0	120.0	81.0	134.0
ENSG00000004961	HCCS	64.0	55.0	56.0	53.0	58.0	83.0
ENSG00000004975	DVL2	16.0	48.0	32.0	51.0	36.0	27.0
ENSG00000005007	UPF1	96.0	70.0	104.0	87.0	101.0	90.0
ENSG00000005020	SKAP2	39.0	58.0	75.0	56.0	80.0	89.0
ENSG00000005022	SLC25A5	1293.0	2060.0	1279.0	1606.0	924.0	2247.0
ENSG00000005059	MCUB	53.0	221.0	68.0	120.0	87.0	144.0
ENSG00000005073	HOXA11					0.2	
ENSG00000005075	POLR2J	57.0	45.0	75.0	44.0	103.0	84.0
ENSG00000005100	DHX33	44.0	61.0	50.0	87.0	30.0	42.0
ENSG00000005102	MEOX1	0.1					
ENSG00000005108	THSD7A	1.0	2.0	0.9			0.1
ENSG00000005156	LIG3	16.0	12.0	21.0	11.0	16.0	18.0
ENSG00000005175	RPAP3	47.0	63.0	54.0	47.0	65.0	88.0
ENSG00000005187	ACSM3	1.0	1.0	2.0	0.7	0.4	3.0
ENSG00000005189	REXO5	11.0	32.0	8.0	9.0	20.0	13.0
ENSG00000005194	CIAPIN1	63.0	32.0	75.0	70.0	56.0	31.0
ENSG00000005206	SPPL2B	8.0	15.0	11.0	12.0	39.0	11.0
ENSG00000005238	FAM214B	3.0	1.0	2.0	2.0	2.0	2.0
ENSG00000005243	COPZ2	2.0		0.1		9.0	0.8
ENSG00000005249	PRKAR2B	9.0	670.0	149.0	210.0	916.0	32.0
ENSG00000005302	MSL3	131.0	11.0	11.0	9.0	17.0	28.0
ENSG00000005339	CREBBP	33.0	44.0	40.0	29.0	60.0	57.0
ENSG00000005379	TSPOAP1	0.2	1.0	0.5	0.6	0.8	3.0
ENSG00000005421	PON1						0.1
ENSG00000005436	GCFC2	28.0	22.0	20.0	17.0	18.0	26.0
ENSG00000005448	WDR54	33.0	37.0	44.0	56.0	30.0	43.0
ENSG00000005469	CROT	5.0	5.0	5.0	4.0	9.0	14.0
ENSG00000005471	ABCB4	0.4	45.0	0.2		2.0	5.0
ENSG00000005483	KMT2E	49.0	37.0	85.0	47.0	67.0	71.0
ENSG00000005486	RHBDD2	31.0	30.0	61.0	46.0	50.0	74.0
ENSG00000005700	IBTK	55.0	42.0	42.0	49.0	37.0	25.0
ENSG00000005801	ZNF195	13.0	9.0	17.0	16.0	13.0	23.0
ENSG00000005810	MYCBP2	65.0	52.0	71.0	52.0	133.0	31.0
ENSG00000005812	FBXL3	25.0	23.0	34.0	23.0	104.0	40.0
ENSG00000005844	ITGAL	52.0	53.0	9.0	29.0	104.0	12.0
ENSG00000005882	PDK2	9.0	11.0	11.0	4.0	13.0	6.0
ENSG00000005884	ITGA3	2.0	0.1	3.0		2.0	0.3
ENSG00000005889	ZFX	39.0	23.0	25.0	21.0	30.0	53.0
ENSG00000005893	LAMP2	92.0	98.0	72.0	78.0	133.0	140.0
ENSG00000005961	ITGA2B	0.1	0.1	0.1		0.1	
ENSG00000005981	ASB4						0.1
ENSG00000006007	GDE1	41.0	61.0	78.0	69.0	79.0	62.0
ENSG00000006015	REX1BD	23.0	34.0	23.0	23.0	26.0	16.0
ENSG00000006016	CRLF1	0.4	1.0	1.0	1.0	1.0	0.3
ENSG00000006025	OSBPL7	6.0	6.0	7.0	6.0	9.0	2.0
ENSG00000006042	TMEM98	0.2	0.4				
ENSG00000006047	YBX2			0.2		0.1	
ENSG00000006062	MAP3K14	25.0	8.0	14.0	23.0	19.0	20.0
ENSG00000006071	ABCC8		0.2				
ENSG00000006118	TMEM132A	3.0	0.3	0.2	0.1	0.6	
ENSG00000006125	AP2B1	140.0	92.0	113.0	87.0	100.0	103.0
ENSG00000006194	ZNF263	23.0	23.0	25.0	28.0	28.0	36.0
ENSG00000006282	SPATA20	9.0	24.0	0.3		2.0	8.0
ENSG00000006283	CACNA1G	0.1					
ENSG00000006327	TNFRSF12A	1.0	1.0	2.0	2.0	0.7	1.0
ENSG00000006432	MAP3K9	8.0	14.0	4.0	7.0	7.0	6.0
ENSG00000006451	RALA	55.0	66.0	98.0	82.0	100.0	107.0
ENSG00000006453	BAIAP2L1	34.0	2.0	0.4	0.1	6.0	7.0
ENSG00000006459	KDM7A	4.0	6.0	12.0	5.0	12.0	18.0
ENSG00000006468	ETV1	2.0					
ENSG00000006530	AGK	20.0	9.0	14.0	14.0	4.0	9.0
ENSG00000006534	ALDH3B1	0.1	0.2	0.5	1.0	0.7	0.8
ENSG00000006555	TTC22	2.0		0.1			
ENSG00000006576	PHTF2	37.0	46.0	26.0	33.0	70.0	56.0
ENSG00000006607	FARP2	20.0	20.0	22.0	37.0	22.0	16.0
ENSG00000006625	GGCT	78.0	97.0	135.0	109.0	107.0	117.0
ENSG00000006634	DBF4	81.0	95.0	125.0	79.0	105.0	142.0
ENSG00000006638	TBXA2R	0.1		1.0		0.3	0.2
ENSG00000006652	IFRD1	29.0	15.0	42.0	20.0	96.0	19.0
ENSG00000006659	LGALS14	0.3	0.1	0.5	3.0		
ENSG00000006695	COX10	21.0	33.0	29.0	43.0	23.0	30.0
ENSG00000006704	GTF2IRD1	0.2	6.0	7.0		0.1	0.4
ENSG00000006712	PAF1	88.0	84.0	87.0	70.0	98.0	94.0
ENSG00000006715	VPS41	35.0	13.0	47.0	18.0	21.0	53.0
ENSG00000006740	ARHGAP44	3.0	5.0	2.0	5.0	0.4	5.0
ENSG00000006744	ELAC2	44.0	83.0	53.0	81.0	25.0	114.0
ENSG00000006747	SCIN	0.4					
ENSG00000006756	ARSD	0.1					
ENSG00000006757	PNPLA4	16.0	14.0	3.0	10.0	16.0	0.2
ENSG00000006831	ADIPOR2	119.0	66.0	91.0	90.0	111.0	181.0
ENSG00000006837	CDKL3	0.7	1.0	0.5	0.6	0.9	0.6
ENSG00000007047	MARK4	19.0	14.0	37.0	17.0	20.0	23.0
ENSG00000007062	PROM1		0.5	0.1	0.1		
ENSG00000007080	CCDC124	162.0	149.0	199.0	177.0	154.0	197.0
ENSG00000007129	CEACAM21	35.0	4.0	8.0	3.0	23.0	7.0
ENSG00000007168	PAFAH1B1	55.0	129.0	65.0	89.0	71.0	46.0
ENSG00000007202	KIAA0100	93.0	90.0	110.0	105.0	89.0	160.0
ENSG00000007237	GAS7	12.0	4.0	2.0	1.0		109.0
ENSG00000007255	TRAPPC6A	37.0	131.0	84.0	68.0	205.0	40.0
ENSG00000007264	MATK	1.0					
ENSG00000007312	CD79B	130.0	799.0	858.0	599.0	1055.0	721.0
ENSG00000007314	SCN4A	0.5	6.0	7.0	4.0	10.0	2.0
ENSG00000007341	ST7L	2.0	3.0	2.0	3.0	2.0	2.0
ENSG00000007350	TKTL1		0.2	0.1			7.0
ENSG00000007372	PAX6	0.1					
ENSG00000007376	RPUSD1	48.0	64.0	71.0	79.0	30.0	49.0
ENSG00000007384	RHBDF1	0.1	0.2	0.2	0.1	0.1	0.1
ENSG00000007392	LUC7L	17.0	12.0	19.0	15.0	7.0	23.0
ENSG00000007402	CACNA2D2		0.1	2.0	0.1	0.2	0.2
ENSG00000007516	BAIAP3	0.3	0.4	2.0	0.1	0.8	0.3
ENSG00000007520	TSR3	134.0	99.0	122.0	127.0	101.0	139.0
ENSG00000007541	PIGQ	7.0	7.0	8.0	8.0	6.0	4.0
ENSG00000007545	CRAMP1	7.0	5.0	11.0	7.0	9.0	18.0
ENSG00000007866	TEAD3	0.2		0.1		0.1	
ENSG00000007923	DNAJC11	46.0	38.0	88.0	88.0	39.0	45.0
ENSG00000007933	FMO3		0.1	0.1		0.2	
ENSG00000007944	MYLIP	15.0	45.0	28.0	47.0	10.0	12.0
ENSG00000007952	NOX1	0.7	0.3	0.4	0.2	1.0	2.0
ENSG00000007968	E2F2	49.0	235.0	160.0	131.0	218.0	233.0
ENSG00000008018	PSMB1	406.0	251.0	332.0	226.0	392.0	305.0
ENSG00000008056	SYN1	0.5				0.1	
ENSG00000008083	JARID2	23.0	16.0	19.0	6.0	40.0	58.0
ENSG00000008086	CDKL5	4.0	3.0	3.0	3.0	0.9	2.0
ENSG00000008118	CAMK1G	0.1					
ENSG00000008128	CDK11A	1.0	0.7	0.9	0.9	1.0	0.6
ENSG00000008130	NADK	78.0	44.0	142.0	90.0	104.0	121.0
ENSG00000008226	DLEC1			0.1			
ENSG00000008256	CYTH3	21.0	19.0	35.0	25.0	2.0	33.0
ENSG00000008277	ADAM22	6.0	2.0	2.0	3.0	4.0	10.0
ENSG00000008282	SYPL1	69.0	281.0	360.0	269.0	533.0	166.0
ENSG00000008283	CYB561	14.0		2.0		0.3	1.0
ENSG00000008294	SPAG9	50.0	32.0	36.0	46.0	58.0	51.0
ENSG00000008300	CELSR3	0.2	3.0	2.0	5.0	2.0	0.4
ENSG00000008311	AASS	2.0		2.0			26.0
ENSG00000008323	PLEKHG6	0.2			0.1		
ENSG00000008324	SS18L2	43.0	77.0	65.0	81.0	115.0	115.0
ENSG00000008382	MPND	16.0	17.0	31.0	17.0	12.0	43.0
ENSG00000008394	MGST1			20.0		10.0	
ENSG00000008405	CRY1	44.0					
ENSG00000008438	PGLYRP1	0.2	0.6	0.4	0.2	0.4	0.1
ENSG00000008441	NFIX	2.0	1.0	0.3	0.3	2.0	5.0
ENSG00000008513	ST3GAL1	23.0	11.0	3.0	2.0	6.0	15.0
ENSG00000008516	MMP25	0.6	0.5	0.3	0.2	0.9	
ENSG00000008517	IL32	71.0		0.7	0.8		
ENSG00000008710	PKD1	4.0	6.0	6.0	9.0	17.0	6.0
ENSG00000008735	MAPK8IP2	0.4	2.0	1.0	0.9	4.0	0.1
ENSG00000008838	MED24	58.0	40.0	53.0	41.0	53.0	54.0
ENSG00000008853	RHOBTB2	34.0	144.0	56.0	44.0	47.0	10.0
ENSG00000008869	HEATR5B	22.0	20.0	26.0	26.0	18.0	35.0
ENSG00000008952	SEC62	153.0	135.0	161.0	132.0	196.0	101.0
ENSG00000008988	RPS20	893.0	1705.0	1098.0	1456.0	1068.0	953.0
ENSG00000009307	CSDE1	653.0	464.0	605.0	595.0	556.0	625.0
ENSG00000009335	UBE3C	59.0	48.0	71.0	64.0	68.0	87.0
ENSG00000009413	REV3L	25.0	29.0	26.0	28.0	48.0	24.0
ENSG00000009694	TENM1		0.3				
ENSG00000009724	MASP2	1.0	1.0	2.0	2.0	3.0	0.6
ENSG00000009780	FAM76A	9.0	19.0	17.0	25.0	17.0	27.0
ENSG00000009790	TRAF3IP3	27.0	2.0	1.0	4.0	2.0	7.0
ENSG00000009830	POMT2	3.0	3.0	5.0	5.0	6.0	5.0
ENSG00000009844	VTA1	47.0	49.0	54.0	41.0	48.0	58.0
ENSG00000009954	BAZ1B	147.0	162.0	247.0	86.0	332.0	364.0
ENSG00000010017	RANBP9	46.0	96.0	97.0	95.0	115.0	142.0
ENSG00000010030	ETV7	2.0	0.2	0.2	0.1		0.1
ENSG00000010072	SPRTN	12.0	14.0	17.0	12.0	14.0	39.0
ENSG00000010165	EEF1AKNMT	64.0	54.0	78.0	39.0	44.0	106.0
ENSG00000010219	DYRK4	7.0	9.0	7.0	7.0	2.0	5.0
ENSG00000010244	ZNF207	57.0	54.0	67.0	56.0	46.0	72.0
ENSG00000010256	UQCRC1	101.0	178.0	107.0	189.0	108.0	173.0
ENSG00000010270	STARD3NL	61.0	27.0	37.0	29.0	30.0	31.0
ENSG00000010278	CD9	1.0	0.1	21.0	0.3		
ENSG00000010282	HHATL		0.5				
ENSG00000010292	NCAPD2	285.0	341.0	244.0	231.0	283.0	490.0
ENSG00000010295	IFFO1	10.0	7.0	10.0	5.0	18.0	12.0
ENSG00000010310	GIPR	2.0	0.9	0.9	0.5	2.0	0.7
ENSG00000010318	PHF7	4.0	14.0	7.0	12.0	27.0	9.0
ENSG00000010319	SEMA3G	0.1	3.0	1.0	2.0		4.0
ENSG00000010322	NISCH	10.0	14.0	17.0	19.0	26.0	19.0
ENSG00000010361	FUZ	10.0	15.0	30.0	22.0	20.0	12.0
ENSG00000010379	SLC6A13	0.1				0.1	
ENSG00000010404	IDS	43.0	66.0	55.0	119.0	59.0	45.0
ENSG00000010438	PRSS3			0.1		0.1	
ENSG00000010539	ZNF200	9.0	11.0	12.0	12.0	8.0	13.0
ENSG00000010610	CD4		0.9				0.1
ENSG00000010626	LRRC23	4.0	6.0	10.0	9.0	17.0	10.0
ENSG00000010671	BTK	115.0	170.0	127.0	148.0	63.0	382.0
ENSG00000010704	HFE	2.0	0.4	0.3			1.0
ENSG00000010803	SCMH1	39.0	43.0	44.0	48.0	53.0	52.0
ENSG00000010810	FYN	104.0	22.0	26.0	31.0	72.0	24.0
ENSG00000010818	HIVEP2	35.0	31.0	29.0	19.0	54.0	11.0
ENSG00000010932	FMO1	0.4	6.0	1.0	0.7	1.0	0.5
ENSG00000011007	ELOA	82.0	21.0	86.0	56.0	33.0	96.0
ENSG00000011009	LYPLA2	78.0	69.0	86.0	100.0	87.0	68.0
ENSG00000011021	CLCN6	12.0	16.0	18.0	22.0	14.0	9.0
ENSG00000011028	MRC2	9.0					0.1
ENSG00000011052	NME1-NME2	0.9	0.7	2.0	2.0	0.7	2.0
ENSG00000011105	TSPAN9	0.9	4.0	1.0	0.1	0.2	0.5
ENSG00000011114	BTBD7	21.0	12.0	20.0	19.0	17.0	23.0
ENSG00000011132	APBA3	16.0	8.0	9.0	7.0	16.0	8.0
ENSG00000011143	MKS1	15.0	6.0	4.0		0.8	17.0
ENSG00000011198	ABHD5	5.0	13.0	6.0	7.0	1.0	13.0
ENSG00000011201	ANOS1			0.3			
ENSG00000011243	AKAP8L	32.0	22.0	39.0	28.0	62.0	29.0
ENSG00000011258	MBTD1	17.0	37.0	44.0	37.0	69.0	50.0
ENSG00000011260	UTP18	124.0	120.0	134.0	139.0	150.0	207.0
ENSG00000011275	RNF216	39.0	23.0	44.0	27.0	26.0	57.0
ENSG00000011295	TTC19	17.0	33.0	24.0	43.0	12.0	21.0
ENSG00000011304	PTBP1	375.0	323.0	388.0	315.0	338.0	466.0
ENSG00000011332	DPF1	6.0	4.0	7.0	10.0	5.0	10.0
ENSG00000011347	SYT7	0.1		0.3			0.1
ENSG00000011376	LARS2	20.0	24.0	27.0	52.0	19.0	25.0
ENSG00000011405	PIK3C2A	25.0	27.0	29.0	38.0	42.0	22.0
ENSG00000011422	PLAUR	1.0	0.5	0.2	0.1	0.1	1.0
ENSG00000011426	ANLN	37.0	35.0	52.0	31.0	34.0	85.0
ENSG00000011451	WIZ	26.0	24.0	34.0	24.0	26.0	42.0
ENSG00000011454	RABGAP1	26.0	23.0	27.0	23.0	36.0	29.0
ENSG00000011478	QPCTL	45.0	41.0	30.0	61.0	34.0	15.0
ENSG00000011485	PPP5C	53.0	54.0	75.0	58.0	47.0	78.0
ENSG00000011523	CEP68	10.0	10.0	14.0	17.0	27.0	28.0
ENSG00000011566	MAP4K3	7.0	10.0	9.0	6.0	8.0	9.0
ENSG00000011590	ZBTB32	88.0	3.0	3.0	14.0	0.5	
ENSG00000011600	TYROBP	0.2		0.1		0.1	0.3
ENSG00000011638	TMEM159	18.0	32.0	25.0	32.0	11.0	11.0
ENSG00000012048	BRCA1	51.0	69.0	50.0	48.0	63.0	84.0
ENSG00000012061	ERCC1	31.0	25.0	36.0	23.0	13.0	27.0
ENSG00000012124	CD22	335.0	657.0	122.0	241.0	253.0	22.0
ENSG00000012171	SEMA3B	0.1	0.1				0.1
ENSG00000012174	MBTPS2	14.0	21.0	17.0	23.0	16.0	27.0
ENSG00000012211	PRICKLE3	16.0		13.0	12.0	9.0	19.0
ENSG00000012223	LTF	0.6	0.1				
ENSG00000012232	EXTL3	15.0	11.0	8.0	8.0	13.0	22.0
ENSG00000012660	ELOVL5	212.0	250.0	157.0	273.0	266.0	63.0
ENSG00000012779	ALOX5	2.0	136.0	63.0	109.0	20.0	28.0
ENSG00000012817	KDM5D		28.0	3.0	12.0		
ENSG00000012822	CALCOCO1	6.0	4.0	5.0	3.0	4.0	6.0
ENSG00000012963	UBR7	120.0	159.0	95.0	76.0	99.0	171.0
ENSG00000012983	MAP4K5	28.0	28.0	18.0	22.0	22.0	25.0
ENSG00000013016	EHD3	3.0	4.0	4.0	0.4	0.7	3.0
ENSG00000013275	PSMC4	230.0	94.0	184.0	114.0	132.0	188.0
ENSG00000013288	MAN2B2	12.0	12.0	12.0	10.0	22.0	11.0
ENSG00000013297	CLDN11					0.1	
ENSG00000013306	SLC25A39	162.0	185.0	148.0	144.0	81.0	212.0
ENSG00000013364	MVP	35.0	7.0	5.0	8.0	6.0	1.0
ENSG00000013374	NUB1	36.0	121.0	105.0	63.0	93.0	72.0
ENSG00000013375	PGM3	20.0	10.0	18.0	10.0	28.0	5.0
ENSG00000013392	RWDD2A	11.0	4.0	8.0	5.0	16.0	3.0
ENSG00000013441	CLK1	37.0	27.0	21.0	21.0	42.0	26.0
ENSG00000013503	POLR3B	35.0	29.0	45.0	32.0	24.0	37.0
ENSG00000013523	ANGEL1	23.0	22.0	28.0	24.0	36.0	26.0
ENSG00000013561	RNF14	40.0	48.0	39.0	40.0	32.0	28.0
ENSG00000013563	DNASE1L1	4.0	12.0	5.0	6.0	5.0	4.0
ENSG00000013573	DDX11	19.0	19.0	15.0	16.0	15.0	26.0
ENSG00000013583	HEBP1	2.0	13.0	8.0	3.0	0.4	21.0
ENSG00000013588	GPRC5A	0.1					
ENSG00000013725	CD6	1.0					
ENSG00000013810	TACC3	85.0	144.0	117.0	103.0	265.0	167.0
ENSG00000014123	UFL1	73.0	63.0	55.0	76.0	76.0	68.0
ENSG00000014138	POLA2	10.0	13.0	10.0	9.0	8.0	12.0
ENSG00000014164	ZC3H3	55.0	23.0	31.0	21.0	45.0	72.0
ENSG00000014216	CAPN1	61.0	64.0	71.0	55.0	45.0	107.0
ENSG00000014257	ACP3	0.2	21.0	3.0	0.1		
ENSG00000014641	MDH1	190.0	158.0	111.0	85.0	116.0	114.0
ENSG00000014824	SLC30A9	53.0	52.0	64.0	58.0	60.0	29.0
ENSG00000014914	MTMR11	0.4					
ENSG00000014919	COX15	53.0	61.0	59.0	61.0	47.0	38.0
ENSG00000015133	CCDC88C	21.0	53.0	37.0	40.0	158.0	21.0
ENSG00000015153	YAF2	11.0	5.0	9.0	8.0	9.0	19.0
ENSG00000015171	ZMYND11	28.0	0.1	3.0		16.0	37.0
ENSG00000015285	WAS	160.0	208.0	136.0	144.0	160.0	210.0
ENSG00000015413	DPEP1						2.0
ENSG00000015475	BID	41.0	14.0	29.0	28.0	27.0	32.0
ENSG00000015479	MATR3	2.0	2.0	2.0	1.0	1.0	2.0
ENSG00000015520	NPC1L1	0.1	0.1				0.1
ENSG00000015532	XYLT2	13.0	10.0	14.0	10.0	10.0	21.0
ENSG00000015592	STMN4	0.3	0.2				0.1
ENSG00000015676	NUDCD3	34.0	70.0	43.0	28.0	27.0	63.0
ENSG00000016391	CHDH	11.0	1.0		0.1	0.3	
ENSG00000016602	CLCA4		0.1			0.2	
ENSG00000016864	GLT8D1	17.0	22.0	28.0	39.0	52.0	46.0
ENSG00000017260	ATP2C1	78.0	36.0	32.0	31.0	35.0	25.0
ENSG00000017427	IGF1	1.0					0.1
ENSG00000017483	SLC38A5	105.0	63.0	81.0	72.0	42.0	1.0
ENSG00000017797	RALBP1	58.0	79.0	82.0	61.0	77.0	85.0
ENSG00000018189	RUFY3	7.0	38.0	25.0	28.0	20.0	21.0
ENSG00000018236	CNTN1	8.0					
ENSG00000018280	SLC11A1	0.1	0.3	0.2	0.6	0.1	0.2
ENSG00000018408	WWTR1	0.3				0.1	0.1
ENSG00000018510	AGPS	62.0	52.0	44.0	27.0	59.0	66.0
ENSG00000018607	ZNF806		0.1				
ENSG00000018610	STEEP1	51.0	47.0	47.0	42.0	69.0	132.0
ENSG00000018699	TTC27	54.0	43.0	48.0	48.0	35.0	57.0
ENSG00000018869	ZNF582	3.0		0.6	2.0	3.0	0.2
ENSG00000019102	VSIG2	0.1	7.0	0.3	0.6	0.5	0.4
ENSG00000019144	PHLDB1						0.1
ENSG00000019485	PRDM11	2.0	4.0	2.0	4.0	5.0	4.0
ENSG00000019505	SYT13		0.1				
ENSG00000019549	SNAI2	0.1		9.0			
ENSG00000019582	CD74	3121.0	5289.0	2389.0	3744.0	2333.0	4070.0
ENSG00000019991	HGF	0.1	0.1	1.0			0.1
ENSG00000019995	ZRANB1	16.0	16.0	17.0	13.0	21.0	22.0
ENSG00000020129	NCDN	38.0	18.0	41.0	38.0	40.0	20.0
ENSG00000020181	ADGRA2		0.1	1.0			0.4
ENSG00000020219	CCT8L1P	0.1				0.2	
ENSG00000020256	ZFP64	27.0	19.0	14.0	16.0	9.0	23.0
ENSG00000020426	MNAT1	24.0	23.0	17.0	21.0	32.0	37.0
ENSG00000020577	SAMD4A	0.8	1.0	0.3	0.7	4.0	0.5
ENSG00000020633	RUNX3	212.0	39.0	115.0	279.0	138.0	16.0
ENSG00000020922	MRE11	40.0	41.0	34.0	37.0	24.0	69.0
ENSG00000021300	PLEKHB1	2.0		3.0	5.0	0.7	18.0
ENSG00000021355	SERPINB1	3.0	4.0	0.3	0.4	45.0	31.0
ENSG00000021461	CYP3A43	0.1					
ENSG00000021488	SLC7A9					0.1	
ENSG00000021574	SPAST	17.0	28.0	23.0	25.0	29.0	29.0
ENSG00000021645	NRXN3		0.3				
ENSG00000021776	AQR	39.0	13.0	36.0	29.0	28.0	43.0
ENSG00000021826	CPS1	0.2	4.0	0.1	0.1		0.1
ENSG00000022267	FHL1	2.0		0.1	0.1	0.1	31.0
ENSG00000022277	RTF2	68.0	58.0	71.0	61.0	104.0	138.0
ENSG00000022556	NLRP2	25.0	18.0	49.0	0.1	0.3	
ENSG00000022567	SLC45A4	13.0	2.0	5.0	2.0	5.0	4.0
ENSG00000022840	RNF10	163.0	142.0	147.0	94.0	181.0	102.0
ENSG00000022976	ZNF839	5.0	7.0	7.0	6.0	7.0	15.0
ENSG00000023041	ZDHHC6	43.0	25.0	41.0	29.0	47.0	37.0
ENSG00000023171	GRAMD1B	19.0	0.5				20.0
ENSG00000023191	RNH1	47.0	34.0	38.0	47.0	31.0	54.0
ENSG00000023228	NDUFS1	58.0	66.0	56.0	73.0	61.0	29.0
ENSG00000023287	RB1CC1	37.0	28.0	45.0	43.0	66.0	49.0
ENSG00000023318	ERP44	120.0	152.0	75.0	71.0	89.0	51.0
ENSG00000023330	ALAS1	95.0	95.0	56.0	82.0	51.0	49.0
ENSG00000023445	BIRC3	72.0	217.0	237.0	357.0	200.0	73.0
ENSG00000023516	AKAP11	41.0	58.0	51.0	43.0	41.0	41.0
ENSG00000023572	GLRX2	15.0	15.0	21.0	19.0	18.0	40.0
ENSG00000023608	SNAPC1	12.0	11.0	9.0	14.0	19.0	31.0
ENSG00000023697	DERA	41.0	106.0	50.0	59.0	76.0	94.0
ENSG00000023734	STRAP	432.0	335.0	465.0	421.0	336.0	605.0
ENSG00000023839	ABCC2	0.3	0.1	0.1	0.2	0.2	0.5
